Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,-79.96261418556833,-37.346194057343396
0.05,-80.57997419596121,-36.46853951772845
0.1,-81.0102414425972,-35.94639933242241
0.15,-81.33899177714217,-35.60080278630969
0.2,-81.62900655296549,-35.64007184056797
0.25,-82.04251727324069,-35.51006936252726
0.3,-82.61465309370936,-35.20067382140062
0.35,-83.04099954895497,-34.83503688679705
0.4,-83.31396645913397,-34.47622653974485
0.45,-83.56675047111872,-33.96145165363485
0.5,-83.79631347118647,-33.564244782999296
0.55,-84.38011091892238,-32.6923298388666
0.6,-84.4327397615959,-32.550684519852375
0.65,-84.39732420683393,-32.74418873724503
0.7,-84.44952048811832,-32.92515721796076
0.75,-84.42182505760336,-33.402403899916074
0.8,-84.45570891305904,-33.820701221715716
0.85,-84.57152068141689,-34.362921419281314
0.9,-84.54419032188537,-34.91871297248577
0.95,-84.51702169453364,-35.600844567284916
1.0,-84.48908470603546,-36.40374572246552
1.05,-84.0796832222744,-37.72214331962331
1.1,-83.5567866031325,-39.099283254417756
1.15,-82.38539439958477,-40.77854558857607
1.2,-80.93006593547022,-43.06276391547152
1.25,-79.30484329007184,-45.360664777182954
1.3,-78.11757984229725,-47.41319414976582
1.35,-76.73541528401587,-49.544751881900964
1.4,-75.5540867206147,-51.3566323122361
1.45,-74.88063300583616,-52.91962721954295
1.5,-74.62352283053704,-53.99568042564997
1.55,-74.78892432218805,-55.15079925776782
1.6,-75.38015953167523,-56.25907659099112
1.65,-76.3805145513995,-57.33316126433918
1.7,-77.54376006385492,-57.76050282833582
1.75,-78.6072922957934,-57.567460657712225
1.8,-79.33585425761349,-57.029732805483725
1.85,-79.6118354548991,-56.739755909920625
1.9,-79.64413237518205,-56.61544123090341
1.95,-79.68373064614349,-56.58381385100718
2.0,-79.7803777820205,-56.66153923559801
2.05,-79.81676451006776,-56.599815579190114
2.1,-79.82667155527714,-56.42971734832552
2.15,-79.95990857220177,-56.30448139400711
2.2,-80.15300710411377,-56.19796077853881
2.25,-80.41599381928614,-55.78810540578088
2.3,-80.86441330868459,-54.992529438450056
2.35,-81.2134934660262,-54.42317698328937
2.4,-81.56552951425941,-54.11134169131903
2.45,-82.01777107903811,-53.845590077973476
2.5,-82.40951742060221,-53.46609715845971
2.55,-82.80865820973234,-53.18075342996025
2.6,-83.17388352608167,-53.00177618522504
2.65,-83.52532509639165,-52.68205484308069
2.7,-83.8046351106902,-52.10702451447556
2.75,-84.0662384605291,-51.5771691303375
2.8,-84.32915424221345,-51.27981229346282
2.85,-84.63655294952036,-50.90498199146097
2.9,-85.11475055220733,-50.26179732823244
2.95,-85.63270767209227,-49.38646017255393
3.0,-86.03264467449355,-48.5989080644986
3.05,-86.33238155066276,-47.98954298857803
3.1,-86.46373836868455,-47.28527781726744
3.15,-86.47831600228322,-46.40516519571372
3.2,-86.5874400972159,-45.567769656895784
3.25,-86.62660867217475,-44.640125620467835
3.3,-86.6508548357499,-43.80850169299671
3.35,-86.8061721676881,-43.1325909731042
3.4,-87.00804596004838,-42.49431407406122
3.45,-87.12348653754839,-41.964406930091954
3.5,-87.211384223489,-41.427789731640345
3.55,-87.44014416531886,-40.73699254458715
3.6,-87.58381024973133,-40.054865271602786
3.65,-87.64607200337525,-39.55698837958572
3.7,-87.6530400328411,-39.133352541496286
3.75,-87.70528944645382,-38.86178389443174
3.8,-87.78064178240362,-38.53536459042281
3.85,-87.85908833073987,-38.14365154701032
3.9,-88.00056369801527,-37.74762174169394
3.95,-87.97931893081662,-37.51797669392488
4.0,-87.95782536306945,-37.41264300323542
4.05,-87.83351955529493,-37.38566512277944
4.1,-87.75495630763486,-37.270792669307575
4.15,-87.82350840968324,-36.91529413447693
4.2,-87.99253215362035,-36.650966479790654
4.25,-88.37681697899089,-36.770714258010315
4.3,-88.48830630806623,-37.36226463130368
4.35,-88.16091571748538,-38.12224888697133
4.4,-88.1371013897919,-39.0466997459971
4.45,-87.96729799960534,-40.36747835375935
4.5,-87.35781519181617,-41.96612914774132
4.55,-85.91897381173682,-44.31038727842194
4.6,-83.59754998262785,-47.71982715736707
4.65,-80.86713605201082,-51.29033601803715
4.7,-78.54135243039725,-54.2940022598662
4.75,-76.81107348170006,-56.64410853368903
4.8,-75.80354208959533,-58.34299768470942
4.85,-75.53242174534508,-59.10491453496952
4.9,-75.55760461242458,-59.23989225579051
4.95,-75.28272034669241,-58.43319092288057
5.0,-74.97750767504469,-56.91370207275528
5.05,-75.30456374210755,-55.2819125833502
5.1,-75.36410334957105,-54.70620076380624
5.15,-74.66360246541164,-54.25118357961422
5.2,-73.5851588086154,-53.82227663183872
5.25,-72.69016189102712,-53.83961486748899
5.3,-72.61665820050142,-54.26549081487142
5.35,-72.31292446320042,-54.58261097245344
5.4,-71.91130179691812,-54.73803131271201
5.45,-71.69371112930861,-55.50820247514168
5.5,-71.30149140739724,-56.644938440119155
5.55,-70.35007304683006,-57.35385755180586
5.6,-69.78026643979854,-57.733507345481385
5.65,-69.12502864284305,-58.376237404848695
5.7,-68.31689081259698,-58.87650106003215
5.75,-67.02080569733661,-58.97017170292515
5.8,-65.45638687994075,-58.658242497413035
5.85,-63.920120826190725,-58.154526654270725
5.9,-62.32084701889194,-57.42467587835183
5.95,-60.872979367143124,-55.930684164651424
6.0,-59.39435734387227,-53.92681671768006
6.05,-58.172735863419426,-52.204818133778424
6.1,-57.869411825881635,-51.13579089189613
6.15,-57.667338950841945,-50.55817234359086
6.2,-57.35888198429339,-50.041576346749835
6.25,-57.10314347345343,-49.14694965534291
6.3,-57.00143049694383,-48.95960040876872
6.35,-57.52729484922722,-48.96420357761348
6.4,-57.548481466248525,-48.671140391948434
6.45,-57.222714570225435,-48.13524784244809
6.5,-56.942135606239496,-47.76362929948796
6.55,-56.60265417282639,-47.72819339703114
6.6,-56.50100425697851,-47.50687193550031
6.65,-56.45295975758032,-46.95906204154573
6.7,-56.58336513946177,-46.18125744477123
6.75,-56.658212704596636,-45.22226939185821
6.8,-57.75500640780821,-43.82357902239288
6.85,-59.0015869852196,-42.32398426779806
6.9,-60.30435161244683,-40.692506938183904
6.95,-63.13440210014205,-38.52964456021023
7.0,-67.19530075671868,-35.96079262200677
7.05,-71.79807468132452,-34.58100856293754
7.1,-76.96839239114671,-34.24702686933121
7.15,-76.84625226235248,-35.12010971817501
7.2,-67.80842089561554,-35.89259462543338
7.25,-57.760223445211246,-24.116096505539797
7.3,-47.633719333669085,-11.002768535823567
7.35,-40.95016616270333,-2.6891869375095716
7.4,-38.03595930803322,-1.3366664415448384
7.45,-39.055050455508336,-2.5612360245774113
7.5,-37.401288652829166,-6.56951596768777
7.55,-37.946649749358485,-10.082553607118385
7.6,-38.55526500928964,-8.827314780350344
7.65,-36.98982959764333,-7.921364653072998
7.7,-35.215177125977526,-10.023524821352764
7.75,-36.36119700265753,-3.518270546439278
7.8,-36.85334041924169,-5.722713438915689
7.85,-36.56331374623469,-10.799248080835875
7.9,-33.37048051034614,-13.98118935364398
7.95,-31.71631778600692,-14.502941149833338
8.0,-31.546264438937538,-14.877164783956655
8.05,-31.199359106067444,-15.778118907398307
8.1,-30.802049843717956,-16.136604594737857
8.15,-29.668323536819386,-15.66053616893798
8.2,-28.025345434906423,-15.177071146643868
8.25,-27.321257843897467,-15.229847705882227
8.3,-27.401042360024856,-16.452203762746873
8.35,-27.42140038923522,-17.73380663727703
8.4,-27.529085529011127,-18.060089956716205
8.45,-27.298113105634904,-18.28936051767342
8.5,-27.551451574612695,-18.097572037049936
8.55,-27.740940671466376,-18.127630044548365
8.6,-27.609793825428657,-18.46928732669908
8.65,-27.524927565000137,-18.827192359433266
8.7,-27.549742567351647,-18.8772637375794
8.75,-27.54811642751071,-18.896171073932305
8.8,-27.557134081172393,-19.08388883263265
8.85,-27.542458037206398,-19.334243383973575
8.9,-27.557184286496835,-19.51015508803392
8.95,-27.55085019907192,-19.679430885558503
9.0,-27.55011679122805,-19.82836943476765
9.05,-27.56585622669627,-19.928534986317043
9.1,-27.585791135162218,-20.030383842953285
9.15,-27.548778419069485,-20.236517636224466
9.2,-27.505458137364318,-20.444832454104187
9.25,-27.52426789263498,-20.742501998124187
9.3,-27.54111527767357,-20.916999171812144
9.35,-27.585631527974325,-21.015594957303456
9.4,-27.596738653481292,-21.124827639493777
9.45,-27.643857365809517,-21.246461882542402
9.5,-27.656930301706552,-21.34272709598127
9.55,-27.650961303829618,-21.441227745049964
9.6,-27.656546111065648,-21.538529274445615
9.65,-27.69913143893675,-21.624505237698497
9.7,-27.768659679117267,-21.604499841178917
9.75,-27.738668575420075,-21.606926239026187
9.8,-27.793255213756282,-21.523515155317693
9.85,-28.78472187425992,-20.54900371856868
9.9,-31.731311120562175,-16.1515304517805
9.95,-35.721118355875284,-16.101837270806367
10.0,-39.18682309511488,-20.67536319373916
10.05,-41.02407108492492,-21.63551971797557
10.1,-39.380088879472886,-23.6587105077228
10.15,-37.936517411181136,-23.33058700850991
10.2,-37.78574074887837,-20.02948124808304
10.25,-40.59417672175083,-16.5702876019614
10.3,-47.125501540340274,-16.494968396624397
10.35,-55.5984855477476,-21.017404731671963
10.4,-63.88230847467906,-27.09206959337389
10.45,-71.07426964725038,-32.41482865277201
10.5,-76.08399646645167,-36.45928404207153
10.55,-78.01464527810045,-37.9054957470614
10.6,-75.74092446361821,-39.87449461893767
10.65,-71.36741512957319,-43.18733662174456
10.7,-68.74868271152343,-44.865766888456434
10.75,-67.67953252542486,-46.15918782253977
10.8,-66.24094981169644,-47.15016247766109
10.85,-64.8809704518958,-48.67863819855538
10.9,-63.904672171455324,-50.93472189501616
10.95,-64.72263005836103,-52.112423639893194
11.0,-66.10719983367422,-54.46345390889939
11.05,-68.9600876169557,-56.37006915014706
11.1,-71.92557375754569,-55.791405737874996
11.15,-74.74609457778818,-54.07529179815387
11.2,-76.4687160227226,-53.30377782055821
11.25,-78.35026378138983,-52.64639425700831
11.3,-79.19052295054162,-51.4587297904337
11.35,-79.46477406453383,-50.92901388272287
11.4,-78.84564023414421,-49.470012017962134
11.45,-79.17311329213578,-47.336488104585
11.5,-79.39004434880032,-46.1642357311847
11.55,-79.80851050997676,-45.25552223448899
11.6,-80.33586379677097,-44.10742056040957
11.65,-80.53517385854317,-42.91465778402758
11.7,-80.67368466664256,-41.63954213640651
11.75,-80.92001300103297,-40.448065598367755
11.8,-81.15271877096738,-39.385208894575364
11.85,-81.4731657993991,-38.49169401461835
11.9,-81.90783398842923,-37.59679274172054
11.95,-82.40501855466236,-36.62465127955273
12.0,-82.8167125610403,-35.65120504708039
12.05,-83.1504920854965,-34.89186154191183
12.1,-83.38931776392718,-34.09886711422857
12.15,-83.7549248945956,-33.05585540498467
12.2,-84.20312647495929,-32.0184615293164
12.25,-84.63819200624836,-31.126553413204483
12.3,-85.00351086961629,-30.33500159732447
12.35,-85.26614475439168,-29.731850600538685
12.4,-85.46797584139189,-29.230523647450315
12.45,-85.74919686206825,-28.735053881000052
12.5,-86.18766267340158,-28.10925512490242
12.55,-86.76840367125077,-27.216085284917643
12.6,-87.46853967752223,-26.285963116402964
12.65,-88.098387688343,-25.536480183898906
12.7,-88.5991686561143,-24.761341181664083
12.75,-88.88846195245222,-24.193090402311284
12.8,-89.08103273168733,-23.76455592560117
12.85,-89.35101674220316,-23.310995264188676
12.9,-89.6214092157661,-22.980464479460753
12.95,-89.79773155621942,-22.675876470767257
13.0,-89.94152723335424,-22.381172974207253
13.05,-90.0843126535316,-22.280104388955234
13.1,-90.11593000716661,-22.292394199493128
13.15,-90.17607272835882,-22.06024502398673
13.2,-90.34707980549325,-21.81119689220863
13.25,-90.57559336560345,-21.667422213462274
13.3,-90.57071788834011,-21.647518086488038
13.35,-90.46516147069336,-21.734439465653914
13.4,-90.47101523450037,-21.81367600042953
13.45,-90.52455188998657,-22.096153205963528
13.5,-90.50332737525686,-22.369586252318737
13.55,-90.40773168893578,-22.56963338108471
13.6,-90.14618736360121,-23.003777590870758
13.65,-89.8557140186877,-23.596193191853153
13.7,-89.3522419911538,-24.62266890017931
13.75,-88.82777949007419,-25.6429271649082
13.8,-88.1804219645162,-27.16850567486381
13.85,-86.8729924782681,-29.653332241547425
13.9,-85.16581090560437,-32.62171211815324
13.95,-83.38338467809363,-35.69947356217667
14.0,-81.5707640834215,-38.402343587972666
14.05,-79.66494446675408,-40.643527404357144
14.1,-77.58549347739539,-42.455161788314484
14.15,-75.55265712000049,-43.71377973756072
14.2,-74.02647194859968,-45.60046087694618
14.25,-73.1681367653622,-48.27658839610707
14.3,-73.88077047687479,-50.38703936122667
14.35,-75.65759397729623,-51.982944010537985
14.4,-78.5558178589809,-53.27623660559305
14.45,-81.09486511655925,-53.918049164808416
14.5,-82.85456721619428,-54.05426568793515
14.55,-84.68092490779911,-54.00743538848386
14.6,-86.6552796916949,-54.39687585414055
14.65,-88.39019120576515,-54.732853390191515
14.7,-89.1574747610727,-54.04486176419177
14.75,-89.00419117905572,-52.44015468971426
14.8,-88.02956730168142,-52.445222572660484
14.85,-87.04084258345685,-51.91157255551481
14.9,-85.93552168826028,-51.11386716130197
14.95,-85.29679570456953,-51.060130722452016
15.0,-84.71998905459475,-51.253697440093156
15.05,-84.15791694587276,-51.1718653365166
15.1,-84.0965344313132,-51.458380783277946
15.15,-84.36518838184323,-51.21746373158777
15.2,-84.60366894772804,-50.65574800509666
15.25,-84.79436198213135,-49.599314531201294
15.3,-84.95197550928201,-48.822584459501954
15.35,-85.06143031034084,-48.34568183550758
15.4,-85.18435798022465,-48.133537809816815
15.45,-85.22354072173992,-48.11832953103423
15.5,-85.01086805912931,-48.03584474436012
15.55,-84.72629304223851,-47.89954503571257
15.6,-84.56199414179031,-47.76095498496763
15.65,-84.49495262373094,-47.70182384569652
15.7,-84.3568613882295,-47.64457775683683
15.75,-84.35869403394165,-47.605601953089206
15.8,-84.4121102822997,-47.6221650087848
15.85,-84.4482514763169,-47.637613373153286
15.9,-84.43342895260218,-47.57938945463263
15.95,-84.43609777840057,-47.52846102231412
16.0,-84.50004918861487,-47.560959361329886
16.05,-84.46217844372605,-47.41798928867357
16.1,-84.39019824456197,-47.18052336134021
16.15,-84.50264072180406,-47.06459892216575
16.2,-84.594302385554,-47.4961688449384
16.25,-84.36676600176344,-48.01106562010557
16.3,-83.67419971207457,-48.156220902635205
16.35,-83.34960380789133,-48.074992820789504
16.4,-83.51706998100636,-47.65894095438419
16.45,-83.89481703140535,-47.39963691793918
16.5,-84.20469030122314,-47.82192788594618
16.55,-83.94963397576387,-48.02434081112039
16.6,-83.32437992894833,-47.81959239335487
16.65,-83.23563214642867,-47.39960433970918
16.7,-83.72488633721466,-47.50751199209006
16.75,-84.15919863710721,-48.049288889740176
16.8,-83.90843837051258,-48.06068347771869
16.85,-83.51069725497348,-47.84775921515224
16.9,-83.60356181592074,-47.60849865484653
16.95,-83.99471713239862,-47.62464489682212
17.0,-84.24769609127827,-48.0695467543914
17.05,-84.1318637796391,-48.16791369298144
17.1,-83.66873934659783,-48.05682153295487
17.15,-83.56700648642777,-47.78172601193952
17.2,-83.87926980893661,-47.81162729028829
17.25,-84.15545725947041,-48.105948652993824
17.3,-83.9523305644035,-48.039059071580716
17.35,-83.59014518748329,-47.708898993548246
17.4,-83.50175758658736,-47.46405534870918
17.45,-83.75712664749082,-47.34411978333446
17.5,-83.9500936602647,-47.54877152898019
17.55,-83.8066713039131,-47.69243115048397
17.6,-83.40929297375345,-47.858782709995175
17.65,-83.23204832459457,-47.692690637698085
17.7,-83.43138587396741,-47.4934203448087
17.75,-83.73079539521372,-47.61371041308008
17.8,-83.71583307669854,-47.75828608499382
17.85,-83.33713672685074,-47.76731683566826
17.9,-83.13313699597587,-47.671512693317254
17.95,-83.22738330040208,-47.56802671478954
18.0,-83.43676183892146,-47.68682693852276
18.05,-83.4122108895311,-47.78904762692986
18.1,-83.12301386138843,-47.77924134637489
18.15,-82.98938338655539,-47.682471690967944
18.2,-83.15535734883862,-47.58243880486542
18.25,-83.38425941208659,-47.72198341759356
18.3,-83.37387639889018,-47.8863987431172
18.35,-83.03078501235908,-47.91863378265765
18.4,-82.83181338550668,-47.79998507302248
18.45,-82.99465489479248,-47.74284545983583
18.5,-83.30877048569393,-47.94192959039831
18.55,-83.28951102986149,-48.00228592075127
18.6,-82.99330219945327,-47.99417841443521
18.65,-82.85307782559435,-47.928236697802774
18.7,-82.99182383858745,-47.85418780974373
18.75,-83.16134658051627,-47.90622012989798
18.8,-83.15880628157629,-47.920715620131965
18.85,-82.97378593551122,-47.93422987609709
18.9,-82.85464611288948,-47.94874231201428
18.95,-82.77630992816431,-47.91789792766313
19.0,-82.81382806085965,-47.92801900515676
19.05,-82.86311727729516,-48.12080303546209
19.1,-82.73883136987881,-48.33839639989254
